,x_input
104,"[0.028, 0.03699994, 0.03199995, 0.02899992, 0.03699994, 0.01800001, 0.02199996, 0.03600001, 0.02499998, 0.02199996, 0.02499998, 0.02600002, 0.02199996, 0.01800001, 0.03399992, 0.03100002]"
105,"[0.02999997, 0.04299998, 0.03199995, 0.03499997, 0.03799999, 0.01800001, 0.02699995, 0.03799999, 0.02699995, 0.02699995, 0.02899992, 0.02899992, 0.02399993, 0.01800001, 0.03999996, 0.03100002]"
106,"[0.03899992, 0.04299998, 0.03600001, 0.03600001, 0.03799999, 0.01999998, 0.03899992, 0.03699994, 0.02899992, 0.02399993, 0.03799999, 0.03399992, 0.02899992, 0.02199996, 0.04100001, 0.03699994]"
107,"[0.04100001, 0.046, 0.03999996, 0.03499997, 0.03699994, 0.02699995, 0.03799999, 0.03799999, 0.03799999, 0.028, 0.04499996, 0.03399992, 0.03600001, 0.03399992, 0.04399991, 0.03799999]"
108,"[0.04399991, 0.04899991, 0.04199994, 0.03899992, 0.03600001, 0.02899992, 0.03899992, 0.03699994, 0.03799999, 0.028, 0.04799998, 0.04100001, 0.03699994, 0.03699994, 0.03999996, 0.03899992]"
109,"[0.03699994, 0.03499997, 0.04299998, 0.01999998, 0.023, 0.02199996, 0.04100001, 0.03999996, 0.03699994, 0.03199995, 0.04499996, 0.04299998, 0.03799999, 0.04100001, 0.03699994, 0.03100002]"
110,"[0.028, 0.02699995, 0.03199995, 0.01600003, 0.01499999, 0.02399993, 0.03399992, 0.03499997, 0.02199996, 0.02899992, 0.02899992, 0.03899992, 0.03399992, 0.04399991, 0.03799999, 0.02499998]"
111,"[0.02699995, 0.02899992, 0.04399991, 0.01600003, 0.01600003, 0.02100003, 0.03899992, 0.03600001, 0.02499998, 0.02999997, 0.02699995, 0.02600002, 0.023, 0.03299999, 0.02600002, 0.01499999]"
112,"[0.02699995, 0.02600002, 0.03399992, 0.01600003, 0.01600003, 0.01499999, 0.03499997, 0.04100001, 0.023, 0.023, 0.02999997, 0.01899993, 0.01499999, 0.028, 0.028, 0.01699996]"
113,"[0.02600002, 0.02399993, 0.03600001, 0.01399994, 0.01499999, 0.02399993, 0.02999997, 0.03399992, 0.02199996, 0.02899992, 0.02699995, 0.01899993, 0.01699996, 0.028, 0.02999997, 0.01699996]"
114,"[0.02999997, 0.03199995, 0.046, 0.01999998, 0.02100003, 0.03100002, 0.03799999, 0.03899992, 0.02699995, 0.03399992, 0.03100002, 0.02399993, 0.02100003, 0.03499997, 0.03699994, 0.02899992]"
115,"[0.03600001, 0.02699995, 0.04899991, 0.03899992, 0.03699994, 0.03299999, 0.04299998, 0.04499996, 0.03699994, 0.03699994, 0.04699993, 0.02699995, 0.02100003, 0.04899991, 0.04100001, 0.04299998]"
116,"[0.04199994, 0.04399991, 0.046, 0.03899992, 0.03600001, 0.03399992, 0.04899991, 0.04799998, 0.046, 0.03899992, 0.06199992, 0.02499998, 0.03899992, 0.05599999, 0.05599999, 0.04699993]"
117,"[0.051, 0.05299997, 0.04299998, 0.03899992, 0.04199994, 0.03699994, 0.05299997, 0.05400002, 0.05799997, 0.03799999, 0.06699991, 0.02100003, 0.04100001, 0.05400002, 0.05799997, 0.06099999]"
118,"[0.05799997, 0.05900002, 0.04799998, 0.03299999, 0.04199994, 0.04299998, 0.05699992, 0.05400002, 0.06699991, 0.03899992, 0.06499994, 0.02399993, 0.02600002, 0.05499995, 0.06699991, 0.06599998]"
119,"[0.06199992, 0.05900002, 0.051, 0.03399992, 0.04199994, 0.05299997, 0.05599999, 0.05400002, 0.07099998, 0.04199994, 0.06599998, 0.028, 0.03999996, 0.05499995, 0.06199992, 0.06400001]"
120,"[0.06499994, 0.05699992, 0.05499995, 0.04100001, 0.04299998, 0.05499995, 0.05400002, 0.05499995, 0.06699991, 0.04399991, 0.06599998, 0.03199995, 0.04899991, 0.05299997, 0.06400001, 0.06199992]"
121,"[0.06400001, 0.05599999, 0.05699992, 0.04499996, 0.04399991, 0.04699993, 0.05499995, 0.05499995, 0.06299996, 0.04499996, 0.06599998, 0.03399992, 0.04899991, 0.05400002, 0.06499994, 0.06299996]"
