,x_input
113,"[0.69999993, 0.5999999, 0.5999999, 0.69999993, 1.29999995, 0.5, 0.5999999, 0.69999993, 0.69999993, 0.5999999, 0.69999993, 0.5999999, 0.5999999, 0.5, 0.5999999, 0.5999999]"
114,"[0.69999993, 0.5999999, 0.5999999, 0.79999995, 1.20000005, 0.5, 0.5, 0.69999993, 0.69999993, 0.5999999, 0.5999999, 0.5999999, 0.5999999, 0.5999999, 0.69999993, 0.5999999]"
115,"[0.5999999, 0.69999993, 0.5999999, 0.79999995, 1.29999995, 0.5, 0.5999999, 0.69999993, 0.69999993, 0.5999999, 0.69999993, 0.5999999, 0.69999993, 0.5999999, 0.69999993, 0.5999999]"
116,"[0.69999993, 0.69999993, 0.5999999, 0.89999998, 1.20000005, 0.5, 0.69999993, 0.69999993, 0.69999993, 0.5999999, 0.89999998, 0.69999993, 0.69999993, 0.5999999, 0.69999993, 0.5999999]"
117,"[0.79999995, 0.69999993, 0.5999999, 0.89999998, 1.20000005, 0.5999999, 0.69999993, 0.69999993, 0.79999995, 0.5999999, 0.99999988, 0.69999993, 0.79999995, 0.69999993, 0.69999993, 0.5999999]"
118,"[0.79999995, 0.79999995, 0.69999993, 0.89999998, 1.29999995, 0.69999993, 0.79999995, 0.69999993, 0.79999995, 0.5999999, 0.89999998, 0.79999995, 0.89999998, 0.69999993, 0.79999995, 0.69999993]"
119,"[0.79999995, 0.79999995, 0.69999993, 1.0999999, 1.39999986, 0.69999993, 0.69999993, 0.69999993, 0.79999995, 0.5999999, 1.0999999, 0.79999995, 0.99999988, 0.79999995, 0.69999993, 0.5999999]"
120,"[0.89999998, 0.79999995, 0.79999995, 0.69999993, 0.89999998, 0.69999993, 0.79999995, 0.79999995, 0.89999998, 0.69999993, 0.99999988, 0.89999998, 0.79999995, 0.69999993, 0.69999993, 0.5]"
121,"[0.69999993, 0.5999999, 0.69999993, 0.5999999, 0.69999993, 0.5, 0.79999995, 0.79999995, 0.79999995, 0.79999995, 0.79999995, 0.79999995, 0.89999998, 0.79999995, 0.69999993, 0.5999999]"
122,"[0.5999999, 0.5, 0.5, 0.5999999, 0.5999999, 0.5, 0.5999999, 0.69999993, 0.5999999, 0.69999993, 0.5999999, 0.69999993, 0.69999993, 0.69999993, 0.5999999, 0.5]"
123,"[0.5, 0.5, 0.5999999, 0.5, 0.5999999, 0.39999998, 0.5999999, 0.69999993, 0.5999999, 0.5999999, 0.5, 0.5, 0.5999999, 0.5999999, 0.39999998, 0.39999998]"
124,"[0.5, 0.39999998, 0.39999998, 0.5, 0.5, 0.29999995, 0.5, 0.69999993, 0.5999999, 0.5999999, 0.5, 0.5, 0.5, 0.5, 0.39999998, 0.39999998]"
