,x_input
123,"[24.0, 24.0, 22.0, 21.0, 27.0, 23.0, 25.0, 28.0, 29.99999809, 28.0, 25.0, 24.0, 28.0, 32.0, 31.00000191, 31.00000191]"
124,"[23.0, 22.0, 23.0, 18.0, 23.0, 21.0, 29.0, 17.0, 32.0, 24.0, 24.0, 26.00000191, 36.0, 31.00000191, 28.0, 31.00000191]"
125,"[25.0, 23.0, 26.00000191, 18.0, 23.0, 27.0, 31.00000191, 27.0, 32.0, 28.0, 26.00000191, 27.0, 40.0, 41.0, 33.0, 34.0]"
126,"[24.0, 25.0, 26.00000191, 18.0, 29.0, 29.0, 27.0, 29.99999809, 32.0, 25.0, 34.0, 29.0, 41.0, 35.0, 43.0, 39.0]"
127,"[27.0, 29.99999809, 25.0, 26.00000191, 33.0, 29.99999809, 28.0, 34.0, 46.0, 29.0, 36.0, 36.0, 39.0, 41.0, 46.0, 45.0]"
128,"[32.0, 33.0, 25.0, 36.0, 38.0, 42.0, 34.0, 42.0, 53.0, 26.00000191, 42.0, 39.0, 46.0, 42.0, 35.0, 50.0]"
129,"[28.0, 28.0, 34.0, 34.0, 28.0, 33.0, 44.0, 50.0, 57.00000381, 42.0, 39.0, 70.0, 46.0, 51.0, 36.0, 36.0]"
130,"[33.0, 37.0, 40.0, 40.0, 43.0, 44.0, 38.0, 38.0, 46.0, 44.0, 26.00000191, 45.0, 35.0, 46.0, 38.0, 37.0]"
131,"[39.0, 45.0, 46.0, 46.0, 51.0, 47.00000381, 48.0, 46.0, 54.0, 47.00000381, 35.0, 49.0, 43.0, 54.0, 46.0, 47.00000381]"
132,"[46.0, 49.0, 52.00000381, 46.0, 54.99999619, 43.0, 57.00000381, 49.0, 63.0, 48.0, 37.0, 52.00000381, 28.0, 48.0, 43.0, 41.0]"
133,"[41.0, 46.0, 52.00000381, 44.0, 32.0, 38.0, 54.99999619, 47.00000381, 54.99999619, 50.0, 25.0, 47.00000381, 31.00000191, 45.0, 45.0, 45.0]"
134,"[28.0, 29.0, 36.0, 29.99999809, 37.0, 38.0, 49.0, 27.0, 36.0, 37.0, 29.0, 41.0, 32.0, 35.0, 42.0, 44.0]"
135,"[29.99999809, 32.0, 34.0, 34.0, 39.0, 46.0, 38.0, 31.00000191, 38.0, 33.0, 32.0, 39.0, 28.0, 36.0, 50.0, 48.0]"
136,"[37.0, 36.0, 39.0, 34.0, 47.00000381, 48.0, 38.0, 41.0, 46.0, 36.0, 40.0, 41.0, 38.0, 38.0, 52.00000381, 49.0]"
137,"[44.0, 40.0, 46.0, 43.0, 57.00000381, 51.0, 48.0, 46.0, 52.00000381, 44.0, 50.0, 45.0, 38.0, 47.00000381, 54.99999619, 50.0]"
138,"[42.0, 44.0, 47.00000381, 47.00000381, 58.0, 44.0, 50.0, 50.0, 53.0, 45.0, 59.0, 47.00000381, 44.0, 48.0, 53.0, 50.0]"
139,"[43.0, 42.0, 49.0, 43.0, 56.0, 53.0, 50.0, 48.0, 52.00000381, 58.0, 48.0, 51.0, 35.0, 54.99999619, 57.00000381, 51.0]"
140,"[35.0, 36.0, 39.0, 43.0, 51.0, 40.0, 43.0, 32.0, 39.0, 47.00000381, 27.0, 32.0, 20.0, 31.00000191, 52.00000381, 51.0]"
141,"[32.0, 36.0, 36.0, 43.0, 44.0, 43.0, 36.0, 34.0, 37.0, 35.0, 20.0, 21.0, 14.0, 19.0, 52.00000381, 47.00000381]"
142,"[27.0, 32.0, 33.0, 29.99999809, 32.0, 37.0, 31.00000191, 24.0, 29.99999809, 21.0, 14.99999905, 18.0, 13.00000095, 16.0, 38.0, 37.0]"
143,"[17.0, 25.0, 24.0, 27.0, 22.0, 27.0, 28.0, 17.0, 20.0, 14.99999905, 12.0, 20.0, 12.0, 14.99999905, 28.0, 21.0]"
144,"[13.00000095, 17.0, 14.99999905, 18.0, 20.0, 20.0, 16.0, 11.0, 13.00000095, 14.0, 10.0, 17.0, 10.0, 14.99999905, 19.0, 16.0]"
145,"[13.00000095, 17.0, 17.0, 17.0, 19.0, 17.0, 14.99999905, 19.0, 17.0, 16.0, 14.0, 17.0, 14.0, 19.0, 17.0, 14.99999905]"
146,"[14.0, 14.99999905, 17.0, 16.0, 18.0, 16.0, 18.0, 14.0, 17.0, 16.0, 14.0, 17.0, 13.00000095, 18.0, 18.0, 17.0]"
147,"[17.0, 18.0, 16.0, 19.0, 21.0, 20.0, 14.0, 16.0, 20.0, 16.0, 12.0, 20.0, 14.0, 22.0, 19.0, 20.0]"
148,"[18.0, 19.0, 19.0, 19.0, 23.0, 16.0, 21.0, 18.0, 21.0, 17.0, 18.0, 24.0, 17.0, 23.0, 24.0, 24.0]"
149,"[20.0, 22.0, 21.0, 20.0, 27.0, 25.0, 23.0, 21.0, 27.0, 21.0, 19.0, 26.00000191, 23.0, 27.0, 26.00000191, 28.0]"
150,"[16.0, 21.0, 18.0, 21.0, 23.0, 24.0, 23.0, 20.0, 27.0, 18.0, 17.0, 24.0, 18.0, 25.0, 26.00000191, 25.0]"
151,"[20.0, 27.0, 25.0, 27.0, 24.0, 25.0, 27.0, 23.0, 31.00000191, 23.0, 13.00000095, 28.0, 20.0, 27.0, 29.0, 24.0]"
152,"[22.0, 18.0, 22.0, 17.0, 22.0, 17.0, 25.0, 22.0, 29.99999809, 25.0, 18.0, 29.0, 18.0, 33.0, 29.0, 25.0]"
153,"[19.0, 20.0, 20.0, 13.00000095, 17.0, 20.0, 26.00000191, 19.0, 24.0, 21.0, 17.0, 26.00000191, 14.99999905, 27.0, 22.0, 19.0]"
154,"[14.99999905, 20.0, 17.0, 11.0, 14.0, 16.0, 21.0, 17.0, 22.0, 9.0, 14.0, 17.0, 11.0, 26.00000191, 18.0, 19.0]"
